Year,City,Sport,Discipline,Athlete,Country,Gender,Event,Medal,Season,FirstName
1896,Athens,Aquatics,Swimming,"HAJOS, Alfred",HUN,Men,100M Freestyle,Gold,Summer,Alfred
1896,Athens,Aquatics,Swimming,"HERSCHMANN, Otto",AUT,Men,100M Freestyle,Silver,Summer,Otto
1896,Athens,Aquatics,Swimming,"DRIVAS, Dimitrios",GRE,Men,100M Freestyle For Sailors,Bronze,Summer,Dimitrios
1896,Athens,Aquatics,Swimming,"MALOKINIS, Ioannis",GRE,Men,100M Freestyle For Sailors,Gold,Summer,Ioannis
1896,Athens,Aquatics,Swimming,"CHASAPIS, Spiridon",GRE,Men,100M Freestyle For Sailors,Silver,Summer,Spiridon
1896,Athens,Aquatics,Swimming,"CHOROPHAS, Efstathios",GRE,Men,1200M Freestyle,Bronze,Summer,Efstathios
1896,Athens,Aquatics,Swimming,"HAJOS, Alfred",HUN,Men,1200M Freestyle,Gold,Summer,Alfred
1896,Athens,Aquatics,Swimming,"ANDREOU, Joannis",GRE,Men,1200M Freestyle,Silver,Summer,Joannis
1896,Athens,Aquatics,Swimming,"CHOROPHAS, Efstathios",GRE,Men,400M Freestyle,Bronze,Summer,Efstathios
1896,Athens,Aquatics,Swimming,"NEUMANN, Paul",AUT,Men,400M Freestyle,Gold,Summer,Paul
1896,Athens,Aquatics,Swimming,"PEPANOS, Antonios",GRE,Men,400M Freestyle,Silver,Summer,Antonios
1896,Athens,Athletics,Athletics,"LANE, Francis",USA,Men,100M,Bronze,Summer,Francis
1896,Athens,Athletics,Athletics,"SZOKOLYI, Alajos",HUN,Men,100M,Bronze,Summer,Alajos
1896,Athens,Athletics,Athletics,"BURKE, Thomas",USA,Men,100M,Gold,Summer,Thomas
1896,Athens,Athletics,Athletics,"HOFMANN, Fritz",GER,Men,100M,Silver,Summer,Fritz
1896,Athens,Athletics,Athletics,"CURTIS, Thomas",USA,Men,110M Hurdles,Gold,Summer,Thomas
1896,Athens,Athletics,Athletics,"GOULDING, Grantley",GBR,Men,110M Hurdles,Silver,Summer,Grantley
1896,Athens,Athletics,Athletics,"LERMUSIAUX, Albin",FRA,Men,1500M,Bronze,Summer,Albin
1896,Athens,Athletics,Athletics,"FLACK, Edwin",AUS,Men,1500M,Gold,Summer,Edwin
1896,Athens,Athletics,Athletics,"BLAKE, Arthur",USA,Men,1500M,Silver,Summer,Arthur
1896,Athens,Athletics,Athletics,"GMELIN, Charles",GBR,Men,400M,Bronze,Summer,Charles
1896,Athens,Athletics,Athletics,"BURKE, Thomas",USA,Men,400M,Gold,Summer,Thomas
1896,Athens,Athletics,Athletics,"JAMISON, Herbert",USA,Men,400M,Silver,Summer,Herbert
1896,Athens,Athletics,Athletics,"GOLEMIS, Dimitrios",GRE,Men,800M,Bronze,Summer,Dimitrios
1896,Athens,Athletics,Athletics,"FLACK, Edwin",AUS,Men,800M,Gold,Summer,Edwin
1896,Athens,Athletics,Athletics,"DANI, Nandor",HUN,Men,800M,Silver,Summer,Nandor
1896,Athens,Athletics,Athletics,"VERSIS, Sotirios",GRE,Men,Discus Throw,Bronze,Summer,Sotirios
1896,Athens,Athletics,Athletics,"GARRETT, Robert",USA,Men,Discus Throw,Gold,Summer,Robert
1896,Athens,Athletics,Athletics,"PARASKEVOPOULOS, Panagiotis",GRE,Men,Discus Throw,Silver,Summer,Panagiotis
1896,Athens,Athletics,Athletics,"CLARK, Ellery",USA,Men,High Jump,Gold,Summer,Ellery
1896,Athens,Athletics,Athletics,"CONNOLLY, James",USA,Men,High Jump,Silver,Summer,James
